model,group_field,group,N,students,questions,prevalence,status,ROC_AUC,AP_correct,AP_incorrect,Log_Loss,Brier,ECE15,Calibration_Intercept,Calibration_Slope,Accuracy,NA_reason
AdaptiveMath-AI,primary_subject_id,33,2149,315,216,0.6607724523033969,estimable,0.7646761915802056,0.863320162601513,0.6146339814259689,0.5342641876926829,0.1805357245421205,0.02275038146848449,0.0658300581883388,1.0205884038578976,0.7324336900884152,
HGB100,primary_subject_id,33,2149,315,216,0.6607724523033969,estimable,0.7619954983674311,0.8599747224843983,0.607932058378598,0.5377903345388905,0.18193887664643937,0.02276590442229105,0.09419998907743715,0.9917748052544852,0.7226617031177311,
AdaptiveMath-AI,primary_subject_id,34,620,117,91,0.6806451612903226,low_support,,,,,,,,,,
HGB100,primary_subject_id,34,620,117,91,0.6806451612903226,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,41,559,109,156,0.8014311270125224,low_support,,,,,,,,,,
HGB100,primary_subject_id,41,559,109,156,0.8014311270125224,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,47,1268,207,169,0.6332807570977917,estimable,0.7878520065881972,0.8587987706604476,0.6708546733462586,0.5342177281262825,0.17921268983895275,0.036767565421166944,-0.20436172797321292,1.1898822049677054,0.7334384858044154,
HGB100,primary_subject_id,47,1268,207,169,0.6332807570977917,estimable,0.7736043599941078,0.8461441701069692,0.6420486858587124,0.5468418426529829,0.1840982168016449,0.033435251239710806,-0.1619621835148134,1.1026922625619426,0.7310725552050463,
AdaptiveMath-AI,primary_subject_id,50,1262,319,129,0.6862123613312203,estimable,0.7664301793920747,0.8775960181433229,0.5944197252771615,0.5189152206963601,0.1744180560415072,0.030444541406046154,-0.04491951275445887,1.0254249031868468,0.7345483359746441,
HGB100,primary_subject_id,50,1262,319,129,0.6862123613312203,estimable,0.7647884736510618,0.8760964775088147,0.5874860917322591,0.520340588661815,0.17492935556126468,0.019354134948627588,-0.04888740382828913,1.0482462766097675,0.7337559429477027,
AdaptiveMath-AI,primary_subject_id,51,916,252,97,0.5524017467248908,low_support,,,,,,,,,,
HGB100,primary_subject_id,51,916,252,97,0.5524017467248908,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,52,1045,276,103,0.6507177033492823,estimable,0.7838114423851743,0.8654690120226575,0.6565183254691622,0.5259870635505582,0.17611371524218178,0.036066905852360706,-0.05654975872886882,1.1033164435771048,0.7416267942583715,
HGB100,primary_subject_id,52,1045,276,103,0.6507177033492823,estimable,0.7816619661563267,0.8639937657234475,0.6475837780635214,0.5271197507525581,0.17666287727923424,0.0379699306881075,-0.08843331332759712,1.0967929713734663,0.7444976076555008,
AdaptiveMath-AI,primary_subject_id,53,943,225,98,0.6362672322375398,low_support,,,,,,,,,,
HGB100,primary_subject_id,53,943,225,98,0.6362672322375398,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,56,113,53,34,0.7079646017699115,low_support,,,,,,,,,,
HGB100,primary_subject_id,56,113,53,34,0.7079646017699115,low_support,,,,,,,,,,
AdaptiveMath-AI,primary_subject_id,57,332,77,73,0.7168674698795181,low_support,,,,,,,,,,
HGB100,primary_subject_id,57,332,77,73,0.7168674698795181,low_support,,,,,,,,,,
